Provincia;Latitud;Longitud;Edad Aprox.;Sexo;Motivo Desaparción;Motivo Desaparción Obs.;Fecha Desaparición;Situación Actual;Fecha Localización
PICHINCHA;-0,14064539;-78,47808482;22;HOMBRE;SIN_DATO;SIN_DATO;15/3/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,08398860;-78,50876760;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;6/7/2023;ENCONTRADO;10/7/2023
CHIMBORAZO;-1,68180390;-78,63154986;24;MUJER;SIN_DATO;SIN_DATO;3/5/2023;DESAPARECIDO;SIN_DATO
GUAYAS;-2,12586840;-79,92274520;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;2/3/2023;ENCONTRADO;20/3/2023
NAPO;-1,03342382;-77,67009738;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;24/6/2023;ENCONTRADO;29/6/2023
CHIMBORAZO;-1,66044110;-78,65638550;12;HOMBRE;PROBLEMAS FAMILIARES;MALTRATO FISICO;9/2/2023;ENCONTRADO;9/2/2023
PICHINCHA;-0,22062250;-78,50495260;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;5/5/2023;ENCONTRADO;18/5/2023
PICHINCHA;-0,07682713;-78,42786721;32;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;30/6/2023;ENCONTRADO;8/7/2023
ZAMORA CHINCHIPE;-3,62520406;-78,58438318;47;HOMBRE;FALLECIDO;SUICIDIO;1/5/2023;FALLECIDO;10/5/2023
PICHINCHA;-0,21867203;-78,50517916;16;MUJER;SIN_DATO;SIN_DATO;17/3/2023;DESAPARECIDO;SIN_DATO
IMBABURA;0,34758690;-78,11604860;23;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;10/3/2023;ENCONTRADO;16/3/2023
GUAYAS;-2,11391357;-79,98889708;21;MUJER;PROBLEMAS PSICOLÓGICOS;DEPRESION;18/3/2023;ENCONTRADO;28/3/2023
MANABI;-0,95853387;-80,74264526;17;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;26/2/2023;ENCONTRADO;22/3/2023
MANABI;-0,95853387;-80,74264526;2;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;26/2/2023;ENCONTRADO;22/3/2023
AZUAY;-2,90027280;-79,03459650;13;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;21/7/2023;ENCONTRADO;23/7/2023
AZUAY;-2,89018174;-79,02961728;1;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;18/3/2023;ENCONTRADO;6/4/2023
GUAYAS;-2,21619636;-79,90214825;52;MUJER;SIN_DATO;SIN_DATO;6/7/2023;DESAPARECIDO;SIN_DATO
MANABI;-0,84977849;-80,53141594;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;19/2/2023;ENCONTRADO;23/2/2023
EL ORO;-3,47950074;-80,22523482;31;HOMBRE;PROBLEMAS SOCIALES;MIGRACION;6/5/2023;ENCONTRADO;19/5/2023
GUAYAS;-2,12851900;-79,95179140;7;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;5/6/2023;ENCONTRADO;17/6/2023
PICHINCHA;-0,05882620;-78,34551215;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;15/9/2023;ENCONTRADO;3/10/2023
CARCHI;0,59489490;-77,82815140;79;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;13/3/2023;ENCONTRADO;22/3/2023
PASTAZA;-1,48680249;-78,00335439;13;MUJER;PROBLEMAS ACADÉMICOS;BAJO RENDIMIENTO;7/7/2023;ENCONTRADO;8/7/2023
PICHINCHA;-0,29304050;-78,54975920;38;HOMBRE;FALLECIDO;NO DETERMINADA;15/3/2023;FALLECIDO;1/4/2023
AZUAY;-2,89328886;-78,99946530;23;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;19/3/2023;ENCONTRADO;22/3/2023
LOS RIOS;-1,03366350;-79,45069890;3;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;12/3/2023;ENCONTRADO;16/3/2023
MANABI;0,07311810;-80,05139280;37;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;14/1/2023;ENCONTRADO;22/3/2023
TUNGURAHUA;-1,30969307;-78,51090218;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;22/2/2023;ENCONTRADO;2/3/2023
PICHINCHA;-0,22827420;-78,50688730;68;MUJER;DISCAPACIDADES Y ENFERMEDADES;ALZHEIMER;22/5/2023;ENCONTRADO;23/5/2023
GUAYAS;-2,06302898;-79,94972714;16;HOMBRE;SIN_DATO;SIN_DATO;18/3/2023;DESAPARECIDO;SIN_DATO
SUCUMBIOS;0,08180581;-76,87016405;14;MUJER;PROBLEMAS FAMILIARES;MALTRATO FISICO;27/2/2023;ENCONTRADO;1/3/2023
PICHINCHA;-0,33148410;-78,42545430;69;MUJER;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;13/3/2023;ENCONTRADO;24/3/2023
CARCHI;0,80437620;-77,72771434;38;HOMBRE;PROBLEMAS SOCIALES;ALCOHOLISMO;12/5/2023;ENCONTRADO;22/5/2023
GUAYAS;-2,24380910;-79,90667630;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;23/3/2023;ENCONTRADO;28/3/2023
PICHINCHA;0,11666700;-79,26666700;1;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;16/1/2023;ENCONTRADO;18/5/2023
PICHINCHA;-0,20445900;-78,34269050;16;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;8/2/2023;ENCONTRADO;28/2/2023
GUAYAS;-1,79767300;-80,02628500;52;HOMBRE;SIN_DATO;SIN_DATO;29/1/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,27768447;-78,55758901;23;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;7/2/2023;ENCONTRADO;9/3/2023
AZUAY;-2,87178367;-79,06679508;64;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;30/1/2023;ENCONTRADO;4/3/2023
IMBABURA;0,35529730;-78,12508480;17;HOMBRE;SIN_DATO;SIN_DATO;23/2/2023;DESAPARECIDO;SIN_DATO
SUCUMBIOS;0,25123144;-76,87599213;2;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;27/2/2023;ENCONTRADO;20/6/2023
EL ORO;-3,26379180;-79,97098270;28;MUJER;EXTRAVIADA;PERSONA EXTRAVIADA;29/9/2023;ENCONTRADO;3/10/2023
IMBABURA;0,35529730;-78,12508480;17;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;4/2/2023;ENCONTRADO;3/3/2023
IMBABURA;0,34576683;-78,13592434;45;MUJER;PROBLEMAS SOCIALES;DELINCUENCIA;22/2/2023;ENCONTRADO;4/3/2023
GUAYAS;-2,06465120;-79,89268090;15;MUJER;SIN_DATO;SIN_DATO;2/3/2023;DESAPARECIDO;SIN_DATO
GUAYAS;-2,26935613;-79,75955774;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;31/1/2023;ENCONTRADO;5/2/2023
EL ORO;-3,26983551;-79,96440587;17;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;6/9/2023;ENCONTRADO;19/9/2023
PICHINCHA;-0,10443410;-78,48465480;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;27/3/2023;ENCONTRADO;27/3/2023
CARCHI;0,81992730;-77,71331504;17;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;12/1/2023;ENCONTRADO;16/1/2023
GUAYAS;-2,01454510;-79,92593850;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;15/1/2023;ENCONTRADO;17/1/2023
PICHINCHA;-0,14879460;-78,50644730;6;HOMBRE;EXTRAVIADA;PERSONA EXTRAVIADA;1/9/2023;ENCONTRADO;1/9/2023
AZUAY;-2,88142599;-79,00526814;47;MUJER;PROBLEMAS SOCIALES;DELINCUENCIA;17/1/2023;ENCONTRADO;22/1/2023
TUNGURAHUA;-1,27195200;-78,62077110;12;MUJER;EXTRAVIADA;PERSONA EXTRAVIADA;16/1/2023;ENCONTRADO;19/1/2023
SUCUMBIOS;-0,18829138;-76,64215118;13;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;24/1/2023;ENCONTRADO;25/1/2023
EL ORO;-3,25847541;-79,95848846;22;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;8/1/2023;ENCONTRADO;26/1/2023
CARCHI;0,59489490;-77,82815140;19;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;28/1/2023;ENCONTRADO;31/1/2023
PICHINCHA;0,00152080;-78,21860450;2;MUJER;PROBLEMAS FAMILIARES;MALTRATO FISICO;11/3/2023;ENCONTRADO;21/3/2023
ORELLANA;-0,46167280;-76,99310740;12;HOMBRE;PROBLEMAS FAMILIARES;MALTRATO FISICO;26/1/2023;ENCONTRADO;1/2/2023
NAPO;-0,93259508;-77,77341843;25;HOMBRE;EXTRAVIADA;PERSONA EXTRAVIADA;15/1/2023;ENCONTRADO;1/2/2023
GUAYAS;-2,62767924;-80,40004703;4;HOMBRE;PROBLEMAS FAMILIARES;MALTRATO FISICO;24/1/2023;ENCONTRADO;2/2/2023
GUAYAS;-2,62767924;-80,40004703;16;MUJER;PROBLEMAS FAMILIARES;MALTRATO FISICO;24/1/2023;ENCONTRADO;2/2/2023
GUAYAS;-2,62767924;-80,40004703;40;MUJER;PROBLEMAS FAMILIARES;MALTRATO FISICO;24/1/2023;ENCONTRADO;2/2/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,21272890;-79,13695460;23;MUJER;PROBLEMAS SOCIALES;ALCOHOLISMO;29/1/2023;ENCONTRADO;1/2/2023
LOS RIOS;-0,96617922;-79,42054382;4;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;1/2/2023;ENCONTRADO;2/2/2023
LOS RIOS;-0,72860049;-79,47111598;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;21/1/2023;ENCONTRADO;2/2/2023
EL ORO;-3,24463384;-79,97215390;26;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;30/1/2023;ENCONTRADO;3/2/2023
GUAYAS;-2,28400980;-79,88471040;28;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;29/1/2023;ENCONTRADO;5/2/2023
PICHINCHA;-0,10541040;-78,51333720;14;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;1/2/2023;ENCONTRADO;4/2/2023
EL ORO;-3,25624537;-79,95379046;17;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;RETARDOS MENTALES;24/1/2023;ENCONTRADO;24/1/2023
PICHINCHA;-0,21230709;-78,50266278;11;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;14/1/2023;ENCONTRADO;28/1/2023
EL ORO;-3,47640684;-80,22280228;52;HOMBRE;EXTRAVIADA;PERSONA EXTRAVIADA;1/2/2023;ENCONTRADO;6/2/2023
EL ORO;-3,32726864;-79,79608727;40;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;28/2/2023;ENCONTRADO;9/3/2023
ESMERALDAS;1,28340478;-78,83600235;27;MUJER;PROBLEMAS PSICOLÓGICOS;PROBLEMAS DE CONDUCTA;21/1/2023;ENCONTRADO;7/2/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,23876086;-79,17232865;8;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;8/2/2023;ENCONTRADO;8/2/2023
ESMERALDAS;0,90186627;-79,68476051;14;MUJER;SIN_DATO;SIN_DATO;12/2/2023;DESAPARECIDO;SIN_DATO
ESMERALDAS;1,27566050;-78,84648800;3;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;6/2/2023;ENCONTRADO;10/2/2023
SANTA ELENA;-2,25021900;-80,92059300;1;MUJER;SIN_DATO;SIN_DATO;29/1/2023;DESAPARECIDO;SIN_DATO
MANABI;-1,03054033;-80,46416759;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;3/2/2023;ENCONTRADO;21/2/2023
EL ORO;-3,24525766;-79,95017177;25;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;31/1/2023;ENCONTRADO;1/3/2023
MANABI;-1,03371019;-80,45318127;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;22/2/2023;ENCONTRADO;23/2/2023
MANABI;-0,24573551;-79,48220189;17;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;7/9/2023;ENCONTRADO;13/9/2023
GUAYAS;-1,98017260;-79,75559450;22;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;30/9/2023;ENCONTRADO;15/10/2023
AZUAY;-2,91008790;-79,03496610;25;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;21/4/2023;ENCONTRADO;18/5/2023
GUAYAS;-2,16492510;-79,46669700;25;HOMBRE;SIN_DATO;SIN_DATO;19/4/2023;DESAPARECIDO;SIN_DATO
NAPO;-1,00111752;-77,80904895;8;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;21/6/2023;ENCONTRADO;11/10/2023
EL ORO;-3,26526917;-79,95803565;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;5/3/2023;ENCONTRADO;8/3/2023
ORELLANA;-0,46167280;-76,99310740;60;MUJER;DISCAPACIDADES Y ENFERMEDADES;ALZHEIMER;25/9/2023;ENCONTRADO;15/10/2023
GUAYAS;-2,13231860;-79,89268090;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;8/3/2023;ENCONTRADO;10/3/2023
ORELLANA;-0,46167280;-76,99310740;7;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;17/8/2023;ENCONTRADO;15/10/2023
EL ORO;-3,25099267;-79,94425940;24;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;21/4/2023;ENCONTRADO;25/4/2023
PICHINCHA;-0,12233445;-78,48502787;12;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;4/3/2023;ENCONTRADO;6/4/2023
MANABI;-0,95203500;-80,45919800;1;HOMBRE;SIN_DATO;SIN_DATO;25/4/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,21929411;-78,51364906;22;HOMBRE;SIN_DATO;SIN_DATO;11/9/2023;DESAPARECIDO;SIN_DATO
AZUAY;-2,90012850;-79,00589650;37;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;25/4/2023;ENCONTRADO;26/5/2023
NAPO;-1,05352205;-77,54830221;21;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;5/3/2023;ENCONTRADO;9/3/2023
EL ORO;-3,48133347;-80,24296706;54;HOMBRE;FALLECIDO;ACCIDENTAL;23/3/2023;FALLECIDO;25/4/2023
CARCHI;0,82305984;-77,70718862;23;HOMBRE;FALLECIDO;NO DETERMINADA;7/7/2023;FALLECIDO;13/9/2023
IMBABURA;0,34714690;-78,13236480;29;HOMBRE;PROBLEMAS SOCIALES;MIGRACION;12/2/2023;ENCONTRADO;25/4/2023
EL ORO;-3,25466457;-79,96235847;25;HOMBRE;PROBLEMA ECÓNOMICOS;DEUDAS;7/3/2023;ENCONTRADO;10/3/2023
LOJA;-4,02825950;-79,20880960;36;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;31/3/2023;ENCONTRADO;5/4/2023
IMBABURA;0,32813120;-78,12206000;16;HOMBRE;SIN_DATO;SIN_DATO;22/4/2023;DESAPARECIDO;SIN_DATO
ESMERALDAS;0,53336200;-79,52276880;31;HOMBRE;SIN_DATO;SIN_DATO;28/3/2023;DESAPARECIDO;SIN_DATO
ESMERALDAS;0,53336200;-79,52276880;45;HOMBRE;SIN_DATO;SIN_DATO;28/3/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,23905615;-78,51046108;18;MUJER;PROBLEMA ECÓNOMICOS;DEUDAS;31/3/2023;ENCONTRADO;28/4/2023
PICHINCHA;-0,25876763;-78,55811298;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;31/3/2023;ENCONTRADO;2/4/2023
GUAYAS;-2,12665212;-79,91882962;12;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;22/7/2023;ENCONTRADO;24/7/2023
GUAYAS;-2,24338650;-79,88953170;77;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;ALZHEIMER;11/3/2023;ENCONTRADO;26/3/2023
GUAYAS;-2,22943637;-79,93449252;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;7/7/2023;ENCONTRADO;9/7/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,27027045;-79,04207580;18;HOMBRE;SIN_DATO;SIN_DATO;27/6/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,20617970;-78,50081360;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;10/3/2023;ENCONTRADO;18/3/2023
AZUAY;-2,88702180;-78,96417630;3;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;4/6/2023;ENCONTRADO;20/6/2023
AZUAY;-2,88702180;-78,96417630;1;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;4/6/2023;ENCONTRADO;20/6/2023
TUNGURAHUA;-1,31283750;-78,50644730;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;6/3/2023;ENCONTRADO;13/3/2023
MANABI;-0,98180120;-80,68748692;12;MUJER;SIN_DATO;SIN_DATO;5/7/2023;DESAPARECIDO;SIN_DATO
CHIMBORAZO;-1,67127269;-78,65376100;20;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;11/3/2023;ENCONTRADO;13/3/2023
PICHINCHA;-0,18065320;-78,46783820;2;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;25/4/2023;ENCONTRADO;10/5/2023
GUAYAS;-2,16461740;-79,83019428;37;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;1/7/2023;ENCONTRADO;24/7/2023
GUAYAS;-2,31421989;-79,29798491;28;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;13/3/2023;ENCONTRADO;18/8/2023
GUAYAS;-1,87445000;-80,08497000;27;HOMBRE;FALLECIDO;NO DETERMINADA;10/3/2023;FALLECIDO;15/3/2023
PICHINCHA;-0,18065320;-78,46783820;16;HOMBRE;EXTRAVIADA;PERSONA EXTRAVIADA;19/6/2023;ENCONTRADO;20/6/2023
PICHINCHA;-0,20174234;-78,49259562;24;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;22/7/2023;ENCONTRADO;25/7/2023
GUAYAS;-2,16901920;-79,80584070;25;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;5/4/2023;ENCONTRADO;2/5/2023
PICHINCHA;-0,28036920;-78,54124030;34;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;2/2/2023;ENCONTRADO;30/3/2023
PICHINCHA;-0,30694910;-78,50189990;44;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;15/6/2023;ENCONTRADO;17/6/2023
PICHINCHA;-0,14075410;-78,47945680;17;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;25/2/2023;ENCONTRADO;15/3/2023
EL ORO;-3,47024269;-79,90476608;23;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;7/3/2023;ENCONTRADO;10/5/2023
GUAYAS;-2,17656828;-79,88650423;22;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;17/6/2023;ENCONTRADO;18/7/2023
SUCUMBIOS;0,09709113;-76,88137084;33;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;12/9/2023;ENCONTRADO;15/9/2023
GUAYAS;-2,14213890;-79,59145211;25;HOMBRE;FALLECIDO;ACCIDENTAL;28/4/2023;FALLECIDO;1/5/2023
EL ORO;-3,25800621;-79,93016302;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;21/6/2023;ENCONTRADO;21/6/2023
GUAYAS;-2,12322483;-79,92137487;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;4/7/2023;ENCONTRADO;25/7/2023
IMBABURA;0,36012314;-78,09260654;1;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;4/4/2023;ENCONTRADO;4/4/2023
EL ORO;-3,24184680;-79,95452170;41;MUJER;SIN_DATO;SIN_DATO;9/7/2023;DESAPARECIDO;SIN_DATO
CARCHI;0,80455043;-77,72784233;26;HOMBRE;FALLECIDO;NO DETERMINADA;14/5/2023;FALLECIDO;8/8/2023
EL ORO;-3,24184680;-79,95452170;17;HOMBRE;SIN_DATO;SIN_DATO;9/7/2023;DESAPARECIDO;SIN_DATO
IMBABURA;0,34548863;-78,12106301;16;HOMBRE;SIN_DATO;SIN_DATO;1/4/2023;DESAPARECIDO;SIN_DATO
MANABI;-0,93978253;-80,72603341;47;HOMBRE;SIN_DATO;SIN_DATO;6/7/2023;DESAPARECIDO;SIN_DATO
GUAYAS;-2,21620510;-79,90212800;71;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;2/7/2023;ENCONTRADO;21/7/2023
EL ORO;-3,25881966;-79,95932310;20;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;30/4/2023;ENCONTRADO;11/7/2023
PICHINCHA;-0,11145130;-78,43224600;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;3/4/2023;ENCONTRADO;7/4/2023
PICHINCHA;-0,25907150;-78,52917060;13;MUJER;SIN_DATO;SIN_DATO;21/5/2023;DESAPARECIDO;SIN_DATO
GUAYAS;-2,21320290;-79,93018770;31;MUJER;SIN_DATO;SIN_DATO;23/7/2023;DESAPARECIDO;SIN_DATO
AZUAY;-2,97958300;-79,68489090;20;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;11/1/2023;ENCONTRADO;30/5/2023
PICHINCHA;-0,23319620;-78,53230210;1;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;17/4/2023;ENCONTRADO;5/5/2023
SANTA ELENA;-1,75968230;-80,76995520;81;MUJER;SIN_DATO;SIN_DATO;23/4/2023;DESAPARECIDO;SIN_DATO
TUNGURAHUA;-1,25434080;-78,62285040;34;HOMBRE;PROBLEMAS SOCIALES;ALCOHOLISMO;30/8/2023;ENCONTRADO;4/9/2023
COTOPAXI;-0,93407611;-78,61441012;12;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;10/5/2023;ENCONTRADO;16/5/2023
MANABI;-0,96764050;-80,67714870;30;HOMBRE;SIN_DATO;SIN_DATO;18/5/2023;DESAPARECIDO;SIN_DATO
GUAYAS;-2,19436300;-79,90230820;17;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;14/5/2023;ENCONTRADO;16/5/2023
CARCHI;0,82232453;-77,70438416;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;17/4/2023;ENCONTRADO;3/5/2023
GUAYAS;-2,24298500;-79,91892040;22;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;17/1/2023;ENCONTRADO;6/4/2023
PICHINCHA;0,00456850;-78,44677450;14;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;18/2/2023;ENCONTRADO;6/4/2023
GUAYAS;-2,14728668;-79,88481739;26;HOMBRE;PROBLEMAS SOCIALES;MIGRACION;10/3/2023;ENCONTRADO;10/5/2023
GUAYAS;-2,14728668;-79,88481739;25;MUJER;PROBLEMAS SOCIALES;MIGRACION;10/3/2023;ENCONTRADO;10/5/2023
GUAYAS;-2,14728668;-79,88481739;6;MUJER;PROBLEMAS SOCIALES;MIGRACION;10/3/2023;ENCONTRADO;10/5/2023
